# wavelength (nm), throughput
520.2999878,0.081157199
520.4000244,0.081109269
520.5,0.080808273
520.5999756,0.080202327
520.7000122,0.079323835
520.7999878,0.078174876
520.9000244,0.076726945
521,0.075030388
521.0999756,0.073108178
521.2000122,0.070924813
521.2999878,0.068525038
521.4000244,0.065906362
521.5,0.063086852
521.5999756,0.060081182
521.7000122,0.056940237
521.7999878,0.053665725
521.9000244,0.050295484
522,0.046841802
522.0999756,0.043331242
522.2000122,0.039800967
522.2999878,0.036326855
522.4000244,0.032856698
522.5,0.029449885
522.5999756,0.038556863
522.7000122,0.041318464
522.7999878,0.044104241
522.9000244,0.046898739
523,0.049705997
523.0999756,0.052481467
523.2000122,0.055212367
523.2999878,0.057903724
523.4000244,0.060550483
523.5,0.06309927
523.5999756,0.065550364
523.7000122,0.067890843
523.7999878,0.070096527
523.9000244,0.072159581
524,0.074039333
524.0999756,0.075756213
524.2000122,0.077285075
524.2999878,0.07861019
524.4000244,0.079726995
524.5,0.080575497
524.5999756,0.081184375
524.7000122,0.081554049
524.7999878,0.081635955
524.9000244,0.081466182
525,0.081032362
525.0999756,0.080292229
525.2000122,0.079287833
525.2999878,0.078023003
525.4000244,0.076490319
525.5,0.074706367
525.5999756,0.072676213
525.7000122,0.070406009
525.7999878,0.067921823
525.9000244,0.065234884
526,0.062381111
526.0999756,0.059359627
526.2000122,0.056207049
526.2999878,0.052969061
526.4000244,0.049596098
526.5,0.046165236
526.5999756,0.042704816
526.7000122,0.039229944
526.7999878,0.035768328
526.9000244,0.032359971
527,0.029009735
527.0999756,0.039141758
527.2000122,0.041865207
527.2999878,0.044618857
527.4000244,0.04737814
527.5,0.050140621
527.5999756,0.052863125
527.7000122,0.055574839
527.7999878,0.058237988
527.9000244,0.060845568
528,0.063378187
528.0999756,0.065781611
528.2000122,0.068076867
528.2999878,0.070241507
528.4000244,0.072253612
528.5,0.074115622
528.5999756,0.075794512
528.7000122,0.077260612
528.7999878,0.078544964
528.9000244,0.079620751
529,0.080444331
529.0999756,0.081117949
529.2000122,0.081489407
529.2999878,0.081672682
529.4000244,0.081547747
529.5,0.081173885
529.5999756,0.080553093
529.7000122,0.079661218
529.7999878,0.078476754
529.9000244,0.077066139
530,0.075400158
530.0999756,0.073481823
530.2000122,0.071325736
530.2999878,0.068943114
530.4000244,0.066371768
530.5,0.063633656
530.5999756,0.060722594
530.7000122,0.057691261
530.7999878,0.054499898
530.9000244,0.051227116
531,0.047874657
531.0999756,0.044478127
531.2000122,0.041058234
531.2999878,0.037656686
531.4000244,0.034263748
531.5,0.030936081
531.5999756,0.03738944
531.7000122,0.040045278
531.7999878,0.042728586
531.9000244,0.045430604
532,0.048152946
532.0999756,0.050847946
532.2000122,0.053530509
532.2999878,0.056181118
532.4000244,0.058759713
532.5,0.061299713
532.5999756,0.063740511
532.7000122,0.066098762
532.7999878,0.068344358
532.9000244,0.070470154
533,0.072447118
533.0999756,0.074276107
533.2000122,0.07591896
533.2999878,0.077383996
533.4000244,0.078647582
533.5,0.079707126
533.5999756,0.080538246
533.7000122,0.081147646
533.7999878,0.081519007
533.9000244,0.081653796
534,0.081522604
534.0999756,0.081140129
534.2000122,0.080486761
534.2999878,0.079580326
534.4000244,0.078406073
534.5,0.077032258
534.5999756,0.075397099
534.7000122,0.073514658
534.7999878,0.07140477
534.9000244,0.069112894
535,0.066621852
535.0999756,0.063973636
535.2000122,0.061162288
535.2999878,0.058206595
535.4000244,0.055125609
535.5,0.051972596
535.5999756,0.048715429
535.7000122,0.045404149
535.7999878,0.042059422
535.9000244,0.038707464
536,0.035379099
536.0999756,0.032082426
536.2000122,0.028857008
536.2999878,0.038726582
536.4000244,0.041330184
536.5,0.043959236
536.5999756,0.046564377
536.7000122,0.04921812
536.7999878,0.051845596
536.9000244,0.05446162
537,0.057035008
537.0999756,0.059528682
537.2000122,0.061959752
537.2999878,0.064305741
537.4000244,0.066555492
537.5,0.068694983
537.5999756,0.070688817
537.7000122,0.072549276
537.7999878,0.074259319
537.9000244,0.075792849
538,0.077152621
538.0999756,0.078340495
538.2000122,0.079334132
538.2999878,0.080081643
538.4000244,0.080639324
538.5,0.080926875
538.5999756,0.081036416
538.7000122,0.080858979
538.7999878,0.080463929
538.9000244,0.079807543
539,0.078925057
539.0999756,0.077768168
539.2000122,0.076389595
539.2999878,0.074774942
539.4000244,0.072928682
539.5,0.070879955
539.5999756,0.068637416
539.7000122,0.066210852
539.7999878,0.063629446
539.9000244,0.06085492
540,0.057953874
540.0999756,0.054928978
540.2000122,0.051793788
540.2999878,0.048595314
540.4000244,0.04533658
540.5,0.042061228
540.5999756,0.038773566
540.7000122,0.03553154
540.7999878,0.032301644
540.9000244,0.029140406
541,0.037503125
541.0999756,0.039989673
541.2000122,0.042473854
541.2999878,0.044980331
541.4000244,0.047494913
541.5,0.049992957
541.5999756,0.052455104
541.7000122,0.054905187
541.7999878,0.057293141
541.9000244,0.059615367
542,0.061847248
542.0999756,0.06403418
542.2000122,0.066113132
542.2999878,0.068076129
542.4000244,0.069898219
542.5,0.071597489
542.5999756,0.073137322
542.7000122,0.074511404
542.7999878,0.075716766
542.9000244,0.076728201
543,0.0775294
543.0999756,0.078106539
543.2000122,0.078442804
543.2999878,0.07858412
543.4000244,0.078495825
543.5,0.078174145
543.5999756,0.077642197
543.7000122,0.076890436
543.7999878,0.075891236
543.9000244,0.074684466
544,0.073239511
544.0999756,0.071639055
544.2000122,0.069833556
544.2999878,0.067833715
544.4000244,0.065649076
544.5,0.063283507
544.5999756,0.060774251
544.7000122,0.058111054
544.7999878,0.055338089
544.9000244,0.052473093
545,0.049531249
545.0999756,0.046562824
545.2000122,0.04352795
545.2999878,0.040453465
545.4000244,0.037373124
545.5,0.034296938
545.5999756,0.031257806
545.7000122,0.02827269
545.7999878,0.036037146
545.9000244,0.038408062
546,0.04081522
546.0999756,0.043224514
546.2000122,0.045640101
546.2999878,0.048057467
546.4000244,0.050451269
546.5,0.052786531
546.5999756,0.055122614
546.7000122,0.05738469
546.7999878,0.059610636
546.9000244,0.061729119
547,0.063770731
547.0999756,0.065692478
547.2000122,0.06751172
547.2999878,0.069211161
547.4000244,0.070745565
547.5,0.072150978
547.5999756,0.07336874
547.7000122,0.074437585
547.7999878,0.075332492
547.9000244,0.07603989
548,0.076551059
548.0999756,0.07686473
548.2000122,0.0769789
548.2999878,0.076896497
548.4000244,0.076584138
548.5,0.076078381
548.5999756,0.075334423
548.7000122,0.074399008
548.7999878,0.073229027
548.9000244,0.071857743
549,0.070292995
549.0999756,0.068544581
549.2000122,0.066609927
549.2999878,0.064492767
549.4000244,0.062222558
549.5,0.059790763
549.5999756,0.057254434
549.7000122,0.054564111
549.7999878,0.051778483
549.9000244,0.0489148
550,0.045978197
550.0999756,0.042947256
550.2000122,0.039891157
550.2999878,0.036840118
550.4000244,0.03381224
550.5,0.030808849
550.5999756,0.027907136
550.7000122,0.035969094
550.7999878,0.038261125
550.9000244,0.040557385
551,0.042874822
551.0999756,0.045239539
551.2000122,0.047612065
